"","x"
"1",2480
"2",2460
"3",2440
"4",2420
"5",2400
"6",2380
"7",2360
"8",2340
"9",2320
"10",2300
"11",2280
"12",2260
"13",2240
"14",2220
"15",2200
"16",2180
"17",2160
"18",2140
"19",2120
"20",2100
"21",2080
"22",2060
"23",2040
"24",2020
"25",2000
"26",1980
"27",1960
"28",1940
"29",1920
"30",1900
"31",1880
"32",1860
"33",1840
"34",1820
"35",1800
"36",1780
"37",1760
"38",1740
"39",1720
"40",1700
"41",1680
"42",1660
"43",1640
"44",1620
"45",1600
"46",1580
"47",1560
"48",1540
"49",1520
"50",1500
"51",1480
"52",1460
"53",1440
"54",1420
"55",1400
"56",1380
"57",1360
"58",1340
"59",1320
"60",1300
"61",1280
"62",1260
"63",1240
"64",1220
"65",1200
"66",1180
"67",1160
"68",1140
"69",1120
"70",1100
"71",1080
"72",1060
"73",1040
"74",1020
"75",1000
"76",980
"77",960
"78",940
"79",920
"80",900
"81",880
"82",860
"83",840
"84",820
"85",800
"86",780
"87",760
"88",740
"89",720
"90",700
"91",680
"92",660
"93",640
"94",620
"95",600
"96",580
"97",560
"98",540
"99",520
"100",500
"101",480
"102",465
"103",450
"104",435
"105",420
"106",405
"107",390
"108",375
"109",360
"110",345
"111",330
"112",315
"113",300
"114",285
"115",270
"116",255
"117",245
"118",235
"119",225
"120",215
"121",205
"122",195
"123",185
"124",175
"125",165
"126",155
"127",145
"128",135
"129",125
"130",115
"131",105
"132",95
"133",85
"134",75
"135",65
"136",55
"137",45
"138",35
"139",25
"140",15
"141",5
"142",-5
"143",-15
"144",-25
"145",-35
"146",-45
"147",-55
"148",-65
"149",-75
"150",-85
"151",-90
"152",-95
"153",-100
"154",-105
"155",-110
"156",-115
"157",-120
"158",-125
"159",-130
"160",-135
"161",-140
"162",-145
"163",-150
"164",-155
"165",-160
"166",-165
"167",-170
"168",-175
