"","x"
"1",67487
"2",72156
"3",72064
"4",72063
"5",71952
"6",71865
"7",71738
"8",71722
"9",71695
"10",71573
"11",71539
"12",71430
"13",71354
"14",71225
"15",71184
"16",71146
"17",71050
"18",70978
"19",70886
"20",70755
"21",70747
"22",70662
"23",70573
"24",70463
"25",70339
"26",70224
"27",70188
"28",70076
"29",70034
"30",69914
"31",69880
"32",69816
"33",69685
"34",69667
"35",69603
"36",69498
"37",69470
"38",69459
"39",69381
"40",69345
"41",69241
"42",69234
"43",69226
"44",69170
"45",69115
"46",68991
"47",68873
"48",68811
"49",68709
"50",68672
"51",68613
"52",68582
"53",68567
"54",68506
"55",68412
"56",68378
"57",68274
"58",68147
"59",68125
"60",67984
"61",67932
"62",67916
"63",67797
"64",67746
"65",67657
"66",67542
"67",67420
"68",67362
"69",67296
"70",67216
"71",67206
"72",67120
"73",66981
"74",66925
"75",66897
"76",66895
"77",66818
"78",66785
"79",66730
"80",66729
"81",66588
"82",66470
"83",66460
"84",66455
"85",66394
"86",66390
"87",66341
"88",66270
"89",66201
"90",66170
"91",66169
"92",66124
"93",65990
"94",65908
"95",65779
"96",65690
"97",65657
"98",65555
"99",65443
"100",65358
"101",64953
"102",64002
"103",63850
"104",63669
"105",62872
"106",62630
"107",61938
"108",61715
"109",61089
"110",60406
"111",59923
"112",59437
"113",59295
"114",58324
"115",57800
"116",57762
"117",56992
"118",56084
"119",55505
"120",55062
"121",54719
"122",53815
"123",53579
"124",53046
"125",52308
"126",51657
"127",51267
"128",50782
"129",50221
"130",49457
"131",48651
"132",48209
"133",47435
"134",46472
"135",45922
"136",45098
"137",44208
"138",43381
"139",42792
"140",42038
"141",41423
"142",41166
"143",40354
"144",39855
"145",39357
"146",38563
"147",37802
"148",37248
"149",36901
"150",36338
"151",35913
"152",35159
"153",34982
"154",34851
"155",34205
"156",33728
"157",33013
"158",32419
"159",32000
"160",31853
"161",31025
"162",30817
"163",30180
"164",29343
"165",28491
"166",28449
"167",27761
"168",27606
