"","x"
"1",20
"2",20
"3",20
"4",20
"5",20
"6",20
"7",20
"8",20
"9",20
"10",20
"11",20
"12",20
"13",20
"14",20
"15",20
"16",20
"17",20
"18",20
"19",20
"20",20
"21",20
"22",20
"23",20
"24",20
"25",20
"26",20
"27",20
"28",20
"29",20
"30",20
"31",20
"32",20
"33",20
"34",20
"35",20
"36",20
"37",20
"38",20
"39",20
"40",20
"41",20
"42",20
"43",20
"44",20
"45",20
"46",20
"47",20
"48",20
"49",20
"50",20
"51",20
"52",20
"53",20
"54",20
"55",20
"56",20
"57",20
"58",20
"59",20
"60",20
"61",20
"62",20
"63",20
"64",20
"65",20
"66",20
"67",20
"68",20
"69",20
"70",20
"71",20
"72",20
"73",20
"74",20
"75",20
"76",20
"77",20
"78",20
"79",20
"80",20
"81",20
"82",20
"83",20
"84",20
"85",20
"86",20
"87",20
"88",20
"89",20
"90",20
"91",20
"92",20
"93",20
"94",20
"95",20
"96",20
"97",20
"98",20
"99",20
"100",20
"101",20
"102",15
"103",15
"104",15
"105",15
"106",15
"107",15
"108",15
"109",15
"110",15
"111",15
"112",15
"113",15
"114",15
"115",15
"116",20
"117",20
"118",15
"119",15
"120",15
"121",15
"122",15
"123",15
"124",15
"125",15
"126",15
"127",15
"128",15
"129",15
"130",15
"131",15
"132",15
"133",15
"134",15
"135",15
"136",15
"137",15
"138",15
"139",15
"140",15
"141",15
"142",15
"143",15
"144",15
"145",15
"146",15
"147",15
"148",15
"149",15
"150",15
"151",15
"152",10
"153",10
"154",10
"155",10
"156",10
"157",10
"158",10
"159",10
"160",10
"161",10
"162",10
"163",10
"164",10
"165",10
"166",15
"167",30
"168",35
