Hour;Value;Machines
1;72205;4
2;72156;4
3;72064;4
4;72063;4
5;71952;4
6;71865;4
7;71738;4
8;71722;4
9;71695;4
10;71573;4
11;71539;4
12;71430;4
13;71354;4
14;71225;4
15;71184;4
16;71146;4
17;71050;4
18;70978;4
19;70886;4
20;70755;4
21;70747;4
22;70662;4
23;70573;4
24;70463;4
25;70339;4
26;70224;4
27;70188;4
28;70076;4
29;70034;4
30;69914;4
31;69880;4
32;69816;4
33;69685;4
34;69667;4
35;69603;4
36;69498;4
37;69470;4
38;69459;4
39;69381;4
40;69345;4
41;69241;4
42;69234;4
43;69226;4
44;69170;4
45;69115;4
46;68991;4
47;68873;4
48;68811;4
49;68709;4
50;68672;4
51;68613;4
52;68582;4
53;68567;4
54;68506;4
55;68412;4
56;68378;4
57;68274;4
58;68147;4
59;68125;4
60;67984;4
61;67932;4
62;67916;4
63;67797;4
64;67746;4
65;67657;4
66;67542;4
67;67420;4
68;67362;4
69;67296;4
70;67216;4
71;67206;4
72;67120;4
73;66981;4
74;66925;4
75;66897;4
76;66895;4
77;66818;4
78;66785;4
79;66730;4
80;66729;4
81;66588;4
82;66470;4
83;66460;4
84;66455;4
85;66394;4
86;66390;4
87;66341;4
88;66270;4
89;66201;4
90;66170;4
91;66169;4
92;66124;4
93;65990;4
94;65908;4
95;65779;4
96;65690;4
97;65657;4
98;65555;4
99;65443;4
100;65358;4
101;64953;4
102;64002;3
103;63850;3
104;63669;3
105;62872;3
106;62630;3
107;61938;3
108;61715;3
109;61089;3
110;60406;3
111;59923;3
112;59437;3
113;59295;3
114;58324;3
115;57800;3
116;57762;3
117;56992;2
118;56084;2
119;55505;2
120;55062;2
121;54719;2
122;53815;2
123;53579;2
124;53046;2
125;52308;2
126;51657;2
127;51267;2
128;50782;2
129;50221;2
130;49457;2
131;48651;2
132;48209;2
133;47435;2
134;46472;2
135;45922;2
136;45098;2
137;44208;2
138;43381;2
139;42792;2
140;42038;2
141;41423;2
142;41166;2
143;40354;2
144;39855;2
145;39357;2
146;38563;2
147;37802;2
148;37248;2
149;36901;2
150;36338;2
151;35913;1
152;35159;1
153;34982;1
154;34851;1
155;34205;1
156;33728;1
157;33013;1
158;32419;1
159;32000;1
160;31853;1
161;31025;1
162;30817;1
163;30180;1
164;29343;1
165;28491;1
166;28449;1
167;27761;1
168;27606;1
