Hour;Value;Machines
1;21407;1
2;21504;1
3;21534;1
4;21574;1
5;21684;1
6;21747;1
7;21870;1
8;21922;1
9;21992;1
10;21999;1
11;22113;1
12;22162;1
13;22165;1
14;22263;1
15;22288;1
16;22369;1
17;22474;1
18;22551;1
19;22580;1
20;22684;1
21;22740;1
22;22798;1
23;22847;1
24;22922;1
25;22939;1
26;23028;1
27;23125;1
28;23173;1
29;23194;1
30;23264;1
31;23283;1
32;23408;1
33;23530;1
34;23631;1
35;23677;1
36;23681;1
37;23700;1
38;23797;1
39;23832;1
40;23887;1
41;23917;1
42;23987;1
43;24050;1
44;24081;1
45;24132;1
46;24234;1
47;24301;1
48;24356;1
49;24400;1
50;24509;1
51;24597;1
52;24722;1
53;24738;1
54;24811;1
55;24818;1
56;24905;1
57;24952;1
58;25034;1
59;25057;1
60;25078;1
61;25171;1
62;25245;1
63;25276;1
64;25276;1
65;25392;1
66;25509;1
67;25563;1
68;25592;1
69;25643;1
70;25663;1
71;25725;1
72;25732;1
73;25773;1
74;25874;1
75;25948;1
76;26061;1
77;26184;1
78;26201;1
79;26224;1
80;26266;1
81;26287;1
82;26329;1
83;26332;1
84;26371;1
85;26481;1
86;26502;1
87;26611;1
88;26660;1
89;26754;1
90;26840;1
91;26925;1
92;26989;1
93;27063;1
94;27077;1
95;27167;1
96;27250;1
97;27289;1
98;27351;1
99;27394;1
100;27455;1
101;27485;1
102;27699;1
103;28126;1
104;28848;1
105;29604;1
106;29991;1
107;31135;1
108;31331;1
109;32157;1
110;32420;1
111;32950;1
112;33925;1
113;35075;1
114;35539;1
115;36180;2
116;37258;2
117;37420;2
118;38271;2
119;38345;2
120;38392;2
121;38959;2
122;39796;2
123;40367;2
124;41494;2
125;42051;2
126;42293;2
127;42393;2
128;43458;2
129;44125;2
130;44671;2
131;45594;2
132;46406;2
133;47514;2
134;48515;2
135;48865;2
136;49834;2
137;50915;2
138;51184;2
139;51776;2
140;52371;2
141;52823;2
142;53475;2
143;54583;2
144;55086;2
145;55139;2
146;55981;2
147;56112;2
148;56458;2
149;56570;2
150;56997;2
151;57400;2
152;58091;3
153;58572;3
154;58953;3
155;59882;3
156;60227;3
157;61022;3
158;61474;3
159;61639;3
160;62153;3
161;62440;3
162;62519;3
163;63200;3
164;63479;3
165;63971;3
166;64840;4
167;65859;4
168;66008;4
