Hour;Value;Machines
1;25502;1
2;25551;1
3;25667;1
4;25721;1
5;25764;1
6;25868;1
7;25916;1
8;25927;1
9;26071;1
10;26193;1
11;26249;1
12;26281;1
13;26395;1
14;26471;1
15;26543;1
16;26601;1
17;26733;1
18;26838;1
19;26881;1
20;26962;1
21;27010;1
22;27094;1
23;27121;1
24;27179;1
25;27290;1
26;27331;1
27;27344;1
28;27404;1
29;27532;1
30;27606;1
31;27710;1
32;27750;1
33;27889;1
34;27934;1
35;28030;1
36;28120;1
37;28252;1
38;28397;1
39;28499;1
40;28513;1
41;28622;1
42;28767;1
43;28871;1
44;28920;1
45;29045;1
46;29134;1
47;29219;1
48;29287;1
49;29366;1
50;29460;1
51;29557;1
52;29568;1
53;29640;1
54;29736;1
55;29867;1
56;30019;1
57;30040;1
58;30098;1
59;30194;1
60;30196;1
61;30286;1
62;30427;1
63;30463;1
64;30533;1
65;30550;1
66;30565;1
67;30610;1
68;30678;1
69;30811;1
70;30945;1
71;31023;1
72;31162;1
73;31165;1
74;31193;1
75;31318;1
76;31374;1
77;31506;1
78;31637;1
79;31723;1
80;31744;1
81;31852;1
82;31950;1
83;32083;1
84;32116;1
85;32246;1
86;32338;1
87;32459;1
88;32502;1
89;32569;1
90;32666;1
91;32734;1
92;32808;1
93;32856;1
94;32955;1
95;33032;1
96;33152;1
97;33260;1
98;33294;1
99;33325;1
100;33434;1
101;34085;1
102;34812;1
103;34934;1
104;35756;1
105;35819;1
106;36143;2
107;37066;2
108;37627;2
109;37773;2
110;38095;2
111;39025;2
112;39583;2
113;39935;2
114;41006;2
115;41066;2
116;41090;2
117;41782;2
118;42362;2
119;42714;2
120;42726;2
121;42734;2
122;43003;2
123;43494;2
124;43520;2
125;44197;2
126;44621;2
127;45393;2
128;45429;2
129;46177;2
130;46906;2
131;47646;2
132;48607;2
133;49576;2
134;50251;2
135;50334;2
136;50599;2
137;50724;2
138;50869;2
139;51492;2
140;52069;2
141;52606;2
142;53680;2
143;54255;2
144;54442;2
145;55203;2
146;56143;2
147;56528;2
148;57171;2
149;58003;3
150;58784;3
151;59486;3
152;60279;3
153;60741;3
154;61056;3
155;61176;3
156;61557;3
157;61792;3
158;61888;3
159;62032;3
160;62808;3
161;63496;3
162;64383;3
163;65333;4
164;65886;4
165;66604;4
166;67709;4
167;68434;4
168;69248;4
