"","x"
"1",1245
"2",1240
"3",1235
"4",1230
"5",1225
"6",1220
"7",1215
"8",1210
"9",1205
"10",1200
"11",1195
"12",1190
"13",1185
"14",1180
"15",1175
"16",1170
"17",1165
"18",1160
"19",1155
"20",1150
"21",1145
"22",1140
"23",1135
"24",1130
"25",1125
"26",1120
"27",1115
"28",1110
"29",1105
"30",1100
"31",1095
"32",1090
"33",1085
"34",1080
"35",1075
"36",1070
"37",1065
"38",1060
"39",1055
"40",1050
"41",1045
"42",1040
"43",1035
"44",1030
"45",1025
"46",1020
"47",1015
"48",1010
"49",1005
"50",1000
"51",995
"52",990
"53",985
"54",980
"55",975
"56",970
"57",965
"58",960
"59",955
"60",950
"61",945
"62",940
"63",935
"64",930
"65",925
"66",920
"67",915
"68",910
"69",905
"70",900
"71",895
"72",890
"73",885
"74",880
"75",875
"76",870
"77",865
"78",860
"79",855
"80",850
"81",845
"82",840
"83",835
"84",830
"85",825
"86",820
"87",815
"88",810
"89",805
"90",800
"91",795
"92",790
"93",785
"94",780
"95",775
"96",770
"97",765
"98",760
"99",755
"100",750
"101",745
"102",740
"103",735
"104",730
"105",725
"106",720
"107",715
"108",710
"109",705
"110",700
"111",695
"112",690
"113",680
"114",670
"115",660
"116",650
"117",640
"118",630
"119",620
"120",610
"121",600
"122",590
"123",580
"124",570
"125",560
"126",550
"127",540
"128",530
"129",520
"130",510
"131",500
"132",490
"133",480
"134",470
"135",460
"136",450
"137",440
"138",430
"139",420
"140",410
"141",400
"142",390
"143",380
"144",370
"145",360
"146",350
"147",340
"148",330
"149",320
"150",310
"151",295
"152",280
"153",265
"154",250
"155",235
"156",220
"157",205
"158",190
"159",175
"160",160
"161",145
"162",125
"163",105
"164",85
"165",65
"166",45
"167",25
"168",0
