"","x"
"1",14090.9031218761
"2",22770
"3",22889
"4",22913
"5",22981
"6",23068
"7",23185
"8",23240
"9",23277
"10",23355
"11",23448
"12",23476
"13",23566
"14",23675
"15",23809
"16",23837
"17",24902.3411602187
"18",24950.4153868825
"19",25048.4922802012
"20",25084.5718273974
"21",25094.654015779
"22",25178.7388327391
"23",25238.8262657546
"24",25346.9163023859
"25",25355.008930276
"26",25431.1041371498
"27",25513.2019108136
"28",25530.3022391541
"29",25573.4051101381
"30",25595.5105118113
"31",25621.6184322982
"32",25733.728859801
"33",25785.8417825993
"34",25811.957189049
"35",25924.0750675823
"36",25981.1954067063
"37",26008.3181950029
"38",26113.4434211283
"39",26180.5710738117
"40",26183.7011418554
"41",26212.8336141339
"42",26331.9684795931
"43",26393.1057272501
"44",26437.2453461925
"45",26545.3873255776
"46",26551.5316546319
"47",26585.678322651
"48",26656.8273189982
"49",26685.9786331047
"50",26769.1322544686
"51",26813.2881726545
"52",26854.4463772931
"53",26884.6068580803
"54",26964.7696047772
"55",27057.9346072088
"56",27141.1018552645
"57",27210.2713388966
"58",27219.4430481204
"59",27232.6169730135
"60",27357.7931037154
"61",27360.9714304268
"62",27459.1519434093
"63",27468.3346329849
"64",27968.3424401331
"65",28017.0990852902
"66",28129.8590154016
"67",28237.6222160281
"68",28298.388672819
"69",28427.1583715116
"70",28501.9312979306
"71",28634.7074379872
"72",28765.4867776787
"73",28879.2693030875
"74",28973.0550003807
"75",28977.8438558094
"76",29002.635855708
"77",29024.4309864932
"78",29039.2292346642
"79",29172.0305868013
"80",29172.8350295656
"81",29212.6425496982
"82",29222.4531340198
"83",29343.26676943
"84",29437.0834429067
"85",29548.9031415054
"86",29666.7258523586
"87",29747.5515626756
"88",29853.3802597413
"89",29920.211930916
"90",29948.0465636349
"91",30069.8841454072
"92",30086.724663816
"93",30176.5681065171
"94",30252.4144612392
"95",30251.2637157826
"96",30316.1158580194
"97",30423.9708758924
"98",30470.8287574146
"99",30598.6894906693
"100",30727.5530638086
"101",31402.4194650537
"102",32187.2886826941
"103",32936.1607050868
"104",33354.0355206565
"105",33897.9131178942
"106",34525.7934853576
"107",35183.6766116699
"108",35781.5624855197
"109",36324.4510956605
"110",36799.3424309099
"111",36890.2364801497
"112",37000.1332323249
"113",37743.0326764435
"114",38868.9348015759
"115",39851.8395968547
"116",40296.7470514739
"117",40608.6571546886
"118",41191.5698958148
"119",41477.4852642286
"120",41492.4032493658
"121",42632.3238407218
"122",43528.2470278508
"123",44303.1728003655
"124",45323.1011479368
"125",45689.0320602932
"126",46026.9655272205
"127",46864.9015385614
"128",47529.840084215
"129",47984.7811541364
"130",48947.7247383364
"131",49137.6708268812
"132",49176.6194098916
"133",50095.570477543
"134",50704.5240200649
"135",51318.4800277405
"136",51614.4384909064
"137",51704.3993999519
"138",52283.3627453192
"139",52793.3285175024
"140",52887.2967070478
"141",53172.2673045528
"142",53175.2403006661
"143",54078.2156860873
"144",54690.1934515662
"145",54763.1735879027
"146",55456.1560859464
"147",56585.1409365964
"148",56649.1281308007
"149",57441.117659556
"150",57960.1095139074
"151",58078.1036849479
"152",58634.1001638183
"153",59494.0989417068
"154",59768.1000098485
"155",60768.1033595252
"156",61737.1089820653
"157",61746.116868843
"158",62666.1270112784
"159",62717.1394008371
"160",62921.1540290297
"161",63901.1708874118
"162",65085.1899675834
"163",65227.2112611888
"164",65998.2347599161
"165",66281.2604554971
"166",66331.2883397071
"167",66712.3184043643
"168",66844.3506413295
