Hour;Value;Machines
1;22639;1
2;22770;1
3;22889;1
4;22913;1
5;22981;1
6;23068;1
7;23185;1
8;23240;1
9;23277;1
10;23355;1
11;23448;1
12;23476;1
13;23566;1
14;23675;1
15;23809;1
16;23837;1
17;23940;1
18;23989;1
19;24088;1
20;24125;1
21;24136;1
22;24221;1
23;24282;1
24;24391;1
25;24400;1
26;24477;1
27;24560;1
28;24578;1
29;24622;1
30;24645;1
31;24672;1
32;24785;1
33;24838;1
34;24865;1
35;24978;1
36;25036;1
37;25064;1
38;25170;1
39;25238;1
40;25242;1
41;25272;1
42;25392;1
43;25454;1
44;25499;1
45;25608;1
46;25615;1
47;25650;1
48;25722;1
49;25752;1
50;25836;1
51;25881;1
52;25923;1
53;25954;1
54;26035;1
55;26129;1
56;26213;1
57;26283;1
58;26293;1
59;26307;1
60;26433;1
61;26437;1
62;26536;1
63;26546;1
64;26559;1
65;26609;1
66;26723;1
67;26832;1
68;26894;1
69;27024;1
70;27100;1
71;27234;1
72;27366;1
73;27481;1
74;27576;1
75;27582;1
76;27608;1
77;27631;1
78;27647;1
79;27781;1
80;27783;1
81;27824;1
82;27835;1
83;27957;1
84;28052;1
85;28165;1
86;28284;1
87;28366;1
88;28473;1
89;28541;1
90;28570;1
91;28693;1
92;28711;1
93;28802;1
94;28879;1
95;28879;1
96;28945;1
97;29054;1
98;29102;1
99;29231;1
100;29361;1
101;30037;1
102;30823;1
103;31573;1
104;31992;1
105;32537;1
106;33166;1
107;33825;1
108;34424;1
109;34968;1
110;35444;1
111;35536;1
112;35647;1
113;36391;2
114;37518;2
115;38502;2
116;38948;2
117;39261;2
118;39845;2
119;40132;2
120;40148;2
121;41289;2
122;42186;2
123;42962;2
124;43983;2
125;44350;2
126;44689;2
127;45528;2
128;46194;2
129;46650;2
130;47614;2
131;47805;2
132;47845;2
133;48765;2
134;49375;2
135;49990;2
136;50287;2
137;50378;2
138;50958;2
139;51469;2
140;51564;2
141;51850;2
142;51854;2
143;52758;2
144;53371;2
145;53445;2
146;54139;2
147;55269;2
148;55334;2
149;56127;2
150;56647;2
151;56766;2
152;57323;2
153;58184;3
154;58459;3
155;59460;3
156;60430;3
157;60440;3
158;61361;3
159;61413;3
160;61618;3
161;62599;3
162;63784;3
163;63927;3
164;64699;3
165;64983;4
166;65034;4
167;65416;4
168;65549;4
