Hour;Value;Machines
1;28909;1
2;28915;1
3;29077;1
4;29135;1
5;29297;1
6;29402;1
7;29433;1
8;29461;1
9;29535;1
10;29604;1
11;29728;1
12;29819;1
13;29864;1
14;29987;1
15;30141;1
16;30152;1
17;30294;1
18;30314;1
19;30408;1
20;30538;1
21;30597;1
22;30605;1
23;30626;1
24;30725;1
25;30768;1
26;30787;1
27;30807;1
28;30953;1
29;31060;1
30;31122;1
31;31145;1
32;31253;1
33;31305;1
34;31418;1
35;31466;1
36;31495;1
37;31553;1
38;31661;1
39;31747;1
40;31863;1
41;31906;1
42;31941;1
43;32056;1
44;32102;1
45;32122;1
46;32151;1
47;32212;1
48;32242;1
49;32282;1
50;32302;1
51;32449;1
52;32463;1
53;32570;1
54;32580;1
55;32643;1
56;32788;1
57;32946;1
58;33009;1
59;33023;1
60;33166;1
61;33250;1
62;33308;1
63;33401;1
64;33412;1
65;33457;1
66;33473;1
67;33512;1
68;33617;1
69;33692;1
70;33816;1
71;33941;1
72;33974;1
73;34081;1
74;34231;1
75;34318;1
76;34341;1
77;34407;1
78;34555;1
79;34634;1
80;34647;1
81;34778;1
82;34940;1
83;35045;1
84;35132;1
85;35220;1
86;35229;1
87;35230;1
88;35272;1
89;35321;1
90;35396;1
91;35440;1
92;35608;1
93;35701;1
94;35816;1
95;35848;1
96;36005;2
97;36120;2
98;36223;2
99;36223;2
100;36227;2
101;37111;2
102;37723;2
103;38188;2
104;38971;2
105;39519;2
106;40413;2
107;41075;2
108;41351;2
109;41899;2
110;41967;2
111;43045;2
112;43051;2
113;43131;2
114;43779;2
115;44640;2
116;44685;2
117;45345;2
118;45595;2
119;45697;2
120;46863;2
121;47242;2
122;48429;2
123;48977;2
124;49866;2
125;50640;2
126;51768;2
127;52574;2
128;53277;2
129;53835;2
130;54765;2
131;55783;2
132;56295;2
133;56455;2
134;56473;2
135;56707;2
136;56821;2
137;56954;2
138;57964;3
139;58667;3
140;58968;3
141;59782;3
142;59848;3
143;61003;3
144;61239;3
145;61318;3
146;61954;3
147;62669;3
148;63432;3
149;63654;3
150;64398;3
151;64449;3
152;65387;4
153;66503;4
154;67647;4
155;68153;4
156;69038;4
157;69102;4
158;69866;4
159;69874;4
160;70482;4
161;70570;4
162;71716;4
163;72621;4
164;73426;4
165;73663;4
166;74228;4
167;75262;4
168;75324;4
