"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",5
"7",5
"8",5
"9",5
"10",5
"11",5
"12",5
"13",5
"14",5
"15",5
"16",5
"17",5
"18",5
"19",5
"20",10
"21",10
"22",10
"23",10
"24",10
"25",10
"26",10
"27",10
"28",10
"29",10
"30",10
"31",10
"32",10
"33",10
"34",10
"35",10
"36",10
"37",10
"38",10
"39",10
"40",15
"41",15
"42",15
"43",15
"44",15
"45",15
"46",15
"47",15
"48",15
"49",15
"50",20
"51",20
"52",20
"53",20
"54",20
"55",20
"56",20
"57",20
"58",20
"59",20
"60",20
"61",20
"62",20
"63",20
"64",20
"65",20
"66",20
"67",20
"68",20
"69",20
"70",20
"71",20
"72",20
"73",20
"74",20
"75",20
"76",20
"77",20
"78",20
"79",20
"80",20
"81",20
"82",20
"83",20
"84",20
"85",20
"86",20
"87",20
"88",20
"89",20
"90",20
"91",20
"92",20
"93",20
"94",20
"95",20
"96",20
"97",20
"98",20
"99",20
"100",20
"101",20
"102",20
"103",20
"104",20
"105",20
"106",20
"107",20
"108",20
"109",20
"110",20
"111",20
"112",20
"113",20
"114",20
"115",20
"116",15
"117",15
"118",15
"119",15
"120",15
"121",15
"122",15
"123",10
"124",10
"125",10
"126",10
"127",10
"128",10
"129",10
"130",10
"131",10
"132",10
"133",10
"134",10
"135",10
"136",10
"137",10
"138",10
"139",10
"140",10
"141",10
"142",10
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",10
"150",10
"151",10
"152",10
"153",10
"154",10
"155",10
"156",10
"157",10
"158",10
"159",10
"160",10
"161",10
"162",10
"163",10
"164",10
"165",10
"166",10
"167",10
"168",10
