"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",5
"7",5
"8",5
"9",5
"10",5
"11",5
"12",5
"13",5
"14",5
"15",5
"16",5
"17",5
"18",5
"19",10
"20",10
"21",10
"22",10
"23",10
"24",10
"25",10
"26",10
"27",10
"28",10
"29",10
"30",10
"31",10
"32",10
"33",10
"34",10
"35",10
"36",10
"37",10
"38",10
"39",10
"40",15
"41",15
"42",15
"43",15
"44",15
"45",15
"46",15
"47",15
"48",20
"49",20
"50",20
"51",25
"52",25
"53",25
"54",25
"55",25
"56",25
"57",25
"58",25
"59",25
"60",25
"61",25
"62",25
"63",25
"64",25
"65",25
"66",25
"67",25
"68",25
"69",25
"70",25
"71",25
"72",25
"73",25
"74",25
"75",25
"76",25
"77",25
"78",25
"79",25
"80",25
"81",25
"82",25
"83",25
"84",25
"85",25
"86",25
"87",25
"88",25
"89",25
"90",25
"91",25
"92",25
"93",25
"94",25
"95",25
"96",25
"97",25
"98",25
"99",25
"100",25
"101",25
"102",25
"103",25
"104",25
"105",25
"106",25
"107",25
"108",25
"109",25
"110",25
"111",25
"112",25
"113",25
"114",25
"115",25
"116",25
"117",20
"118",20
"119",20
"120",20
"121",20
"122",20
"123",15
"124",15
"125",15
"126",15
"127",15
"128",15
"129",15
"130",15
"131",15
"132",15
"133",15
"134",15
"135",15
"136",15
"137",15
"138",15
"139",20
"140",20
"141",20
"142",20
"143",15
"144",15
"145",15
"146",15
"147",15
"148",20
"149",20
"150",20
"151",20
"152",20
"153",20
"154",20
"155",20
"156",25
"157",25
"158",25
"159",25
"160",30
"161",30
"162",30
"163",35
"164",35
"165",40
"166",50
"167",120
"168",125
