"","x"
"1",3395
"2",3390
"3",3385
"4",3380
"5",3375
"6",3370
"7",3365
"8",3360
"9",3355
"10",3350
"11",3345
"12",3340
"13",3335
"14",3330
"15",3325
"16",3320
"17",3315
"18",3310
"19",3300
"20",3290
"21",3280
"22",3270
"23",3260
"24",3250
"25",3240
"26",3230
"27",3220
"28",3210
"29",3200
"30",3190
"31",3180
"32",3170
"33",3160
"34",3150
"35",3140
"36",3130
"37",3120
"38",3110
"39",3100
"40",3085
"41",3070
"42",3055
"43",3040
"44",3025
"45",3010
"46",2995
"47",2980
"48",2960
"49",2940
"50",2920
"51",2895
"52",2870
"53",2845
"54",2820
"55",2795
"56",2770
"57",2745
"58",2720
"59",2695
"60",2670
"61",2645
"62",2620
"63",2595
"64",2570
"65",2545
"66",2520
"67",2495
"68",2470
"69",2445
"70",2420
"71",2395
"72",2370
"73",2345
"74",2320
"75",2295
"76",2270
"77",2245
"78",2220
"79",2195
"80",2170
"81",2145
"82",2120
"83",2095
"84",2070
"85",2045
"86",2020
"87",1995
"88",1970
"89",1945
"90",1920
"91",1895
"92",1870
"93",1845
"94",1820
"95",1795
"96",1770
"97",1745
"98",1720
"99",1695
"100",1670
"101",1645
"102",1620
"103",1595
"104",1570
"105",1545
"106",1520
"107",1495
"108",1470
"109",1445
"110",1420
"111",1395
"112",1370
"113",1345
"114",1320
"115",1295
"116",1270
"117",1250
"118",1230
"119",1210
"120",1190
"121",1170
"122",1150
"123",1135
"124",1120
"125",1105
"126",1090
"127",1075
"128",1060
"129",1045
"130",1030
"131",1015
"132",1000
"133",985
"134",970
"135",955
"136",940
"137",925
"138",910
"139",890
"140",870
"141",850
"142",830
"143",815
"144",800
"145",785
"146",770
"147",755
"148",735
"149",715
"150",695
"151",675
"152",655
"153",635
"154",615
"155",595
"156",570
"157",545
"158",520
"159",495
"160",465
"161",435
"162",405
"163",370
"164",335
"165",295
"166",245
"167",125
"168",0
