"","x"
"1",26403.6517635852
"2",24856.3606946507
"3",25954.0106749466
"4",26214.5909564749
"5",26702.9665198115
"6",27231.3568692579
"7",27811.1836905626
"8",28501.2106657056
"9",29123.1457767874
"10",29477.5614758605
"11",30037.5845965048
"12",30302.6963070662
"13",30679.0562482184
"14",32290.1226320352
"15",33987.8574693704
"16",34082.2957479213
"17",34739.1135992508
"18",35860.6431560364
"19",36961.1547458779
"20",37450.9925880714
"21",38295.5760875127
"22",39279.6219008501
"23",40224.363751753
"24",41044.5685123289
"25",42607.873635899
"26",43734.1749176003
"27",45020.3395974366
"28",46160.2952428391
"29",47767.181360713
"30",48979.5805610841
"31",49777.1236870682
"32",50404.3603894039
"33",51251.041571624
"34",52577.293641568
"35",53562.1435352023
"36",54933.2691493196
"37",55495.5590693094
"38",55831.1999647276
"39",57369.7765174295
"40",58765.0583015804
"41",59683.1927160871
"42",61401.426214227
"43",62220.4314206702
"44",62602.6592349423
"45",62743.8543402023
"46",63051.9287815831
"47",64562.1498440055
"48",65276.5190965302
"49",65603.1722569605
"50",65902.6596355176
"51",66472.0291377747
"52",67557.7188833112
"53",67712.320572311
"54",68010.349351713
"55",68010.0741868761
"56",68077.4687354346
"57",68089.2748370537
"58",68241.1409001401
"59",68423.7593812377
"60",68583.968801153
"61",68589.7832187978
"62",68734.354388797
"63",68875.8924261843
"64",68935.5807544532
"65",68950.5163538534
"66",69043.6916893185
"67",69142.0169202704
"68",69219.3668164263
"69",69257.6388715254
"70",69398.7546520503
"71",69428.7383498202
"72",69571.6361222069
"73",69730.5223007132
"74",69877.4622827838
"75",69976.4911137465
"76",69996.6067893431
"77",70062.7778835014
"78",70140.9601385216
"79",70283.1144798833
"80",70435.2198003176
"81",70497.2772506285
"82",70586.3053124534
"83",70732.3302896023
"84",70686.3754960703
"85",70486.4535786735
"86",70298.5640392665
"87",70128.6958612148
"88",70005.8333604449
"89",69849.9625911975
"90",69644.0759439567
"91",69483.1736463582
"92",69469.262216336
"93",69464.3509830094
"94",69323.4482633323
"95",69115.5586104964
"96",69044.6819049222
"97",69019.8142652429
"98",69017.9501184553
"99",68934.0844633366
"100",68758.2146011952
"101",68486.3405339299
"102",68482.4645454464
"103",68330.5899404879
"104",68100.7196840895
"105",68069.8554148577
"106",67870.997111102
"107",67711.1451485143
"108",67675.2941205908
"109",67646.4442729541
"110",67372.5916425052
"111",67277.7410372561
"112",67013.8910473947
"113",66779.0428396973
"114",66639.1974684203
"115",66522.3555211546
"116",65101.5170615396
"117",63932.6814566625
"118",63502.8480819755
"119",61635.0164172751
"120",59676.1857894574
"121",59314.3563698435
"122",58778.5284743441
"123",57585.7024771553
"124",57003.878740583
"125",56509.0575104626
"126",56120.2387133474
"127",54468.4222043683
"128",52825.6077269209
"129",51412.7950462599
"130",50144.9840255727
"131",48821.174670996
"132",46662.3670400458
"133",45358.5612892496
"134",43818.7575466854
"135",42638.9558823153
"136",41066.1562915532
"137",39287.3559163659
"138",39161.5603118694
"139",39152.7665368774
"140",38920.9745285235
"141",37849.1842725438
"142",37091.3957962169
"143",35833.6091485397
"144",35486.8267398964
"145",35377.043807078
"146",35092.2627630992
"147",35044.483580191
"148",34627.7041468156
"149",34288.9286594103
"150",33978.1549340364
"151",33530.3829609871
"152",33276.6127446137
"153",32859.8442977229
"154",32403.0776325108
"155",31976.3127536747
"156",31971.5496564211
"157",31655.789680445
"158",31165.03002268
"159",30862.2720974075
"160",30401.5159374562
"161",30186.7613971673
"162",29929.0086123511
"163",29695.2575380963
"164",29283.5081745133
"165",28739.7604863695
"166",28595.0146216131
"167",28146.270298197
"168",27652.5276909166
