Hour;Value;Machines
1;19111;1
2;19135;1
3;19464;1
4;19933;1
5;20420;1
6;20442;1
7;21023;1
8;21129;1
9;21248;1
10;21631;1
11;21850;1
12;22169;1
13;22497;1
14;24465;1
15;27083;1
16;29099;1
17;30855;1
18;32027;1
19;33129;1
20;34555;1
21;35333;1
22;37443;2
23;38000;2
24;39128;2
25;40610;2
26;42112;2
27;44790;2
28;46119;2
29;47012;2
30;48584;2
31;51068;2
32;53827;2
33;54808;2
34;56804;2
35;58819;3
36;59629;3
37;60623;3
38;62838;3
39;64093;3
40;65904;4
41;68625;4
42;68730;4
43;69086;4
44;69103;4
45;69234;4
46;69357;4
47;69667;4
48;69781;4
49;70000;4
50;70152;4
51;70369;4
52;70691;4
53;71034;4
54;71082;4
55;71187;4
56;71320;4
57;71466;4
58;71575;4
59;71760;4
60;71769;4
61;72030;4
62;72358;4
63;72390;4
64;72568;4
65;72773;4
66;72849;4
67;72879;4
68;73244;4
69;73485;4
70;73440;4
71;73431;4
72;73362;4
73;73237;4
74;73057;4
75;72917;4
76;72714;4
77;72543;4
78;72323;4
79;72111;4
80;71878;4
81;71656;4
82;71584;4
83;71358;4
84;71173;4
85;70938;4
86;70785;4
87;70674;4
88;70524;4
89;70505;4
90;70495;4
91;70361;4
92;70348;4
93;70247;4
94;70053;4
95;69805;4
96;69590;4
97;69450;4
98;69314;4
99;69086;4
100;68885;4
101;68845;4
102;68753;4
103;67835;4
104;67003;4
105;65106;4
106;63782;3
107;63361;3
108;62945;3
109;61036;3
110;58944;3
111;57031;2
112;55495;2
113;55274;2
114;54267;2
115;52430;2
116;52285;2
117;50496;2
118;49259;2
119;48773;2
120;47683;2
121;46693;2
122;46082;2
123;44789;2
124;43350;2
125;41221;2
126;39318;2
127;37718;2
128;36105;2
129;34549;1
130;34038;1
131;33746;1
132;31652;1
133;31559;1
134;29995;1
135;28937;1
136;27874;1
137;27805;1
138;27584;1
139;27372;1
140;27323;1
141;27241;1
142;27199;1
143;27183;1
144;27046;1
145;26971;1
146;26910;1
147;26852;1
148;26834;1
149;26670;1
150;26516;1
151;26309;1
152;26170;1
153;26115;1
154;25962;1
155;25948;1
156;25908;1
157;25740;1
158;25651;1
159;25430;1
160;25237;1
161;25137;1
162;25032;1
163;24889;1
164;24705;1
165;24502;1
166;24354;1
167;24270;1
168;24054;1
