"","x"
"1",2980
"2",2960
"3",2940
"4",2920
"5",2900
"6",2880
"7",2860
"8",2840
"9",2820
"10",2800
"11",2780
"12",2760
"13",2740
"14",2720
"15",2700
"16",2680
"17",2660
"18",2640
"19",2620
"20",2600
"21",2580
"22",2560
"23",2540
"24",2520
"25",2500
"26",2480
"27",2460
"28",2440
"29",2420
"30",2400
"31",2380
"32",2360
"33",2340
"34",2320
"35",2300
"36",2280
"37",2260
"38",2240
"39",2220
"40",2200
"41",2180
"42",2160
"43",2140
"44",2120
"45",2100
"46",2080
"47",2060
"48",2040
"49",2020
"50",2000
"51",1980
"52",1960
"53",1940
"54",1920
"55",1900
"56",1880
"57",1860
"58",1840
"59",1820
"60",1800
"61",1780
"62",1760
"63",1740
"64",1720
"65",1700
"66",1680
"67",1660
"68",1640
"69",1620
"70",1600
"71",1580
"72",1560
"73",1540
"74",1520
"75",1500
"76",1480
"77",1460
"78",1440
"79",1420
"80",1400
"81",1380
"82",1360
"83",1340
"84",1320
"85",1300
"86",1280
"87",1260
"88",1240
"89",1220
"90",1200
"91",1180
"92",1160
"93",1140
"94",1120
"95",1100
"96",1080
"97",1060
"98",1040
"99",1020
"100",1000
"101",980
"102",965
"103",950
"104",935
"105",920
"106",905
"107",890
"108",875
"109",860
"110",845
"111",830
"112",815
"113",800
"114",785
"115",770
"116",750
"117",730
"118",715
"119",700
"120",685
"121",670
"122",655
"123",640
"124",625
"125",610
"126",595
"127",580
"128",565
"129",550
"130",535
"131",520
"132",505
"133",490
"134",475
"135",460
"136",445
"137",430
"138",415
"139",400
"140",385
"141",370
"142",355
"143",340
"144",325
"145",310
"146",295
"147",280
"148",265
"149",250
"150",235
"151",220
"152",210
"153",200
"154",190
"155",180
"156",170
"157",160
"158",150
"159",140
"160",130
"161",120
"162",110
"163",100
"164",90
"165",80
"166",65
"167",35
"168",0
