Hour;Value;Machines
1;73652;4
2;73594;4
3;73534;4
4;73422;4
5;73328;4
6;73237;4
7;73194;4
8;73185;4
9;73043;4
10;73041;4
11;72903;4
12;72875;4
13;72826;4
14;72742;4
15;72730;4
16;72680;4
17;72627;4
18;72504;4
19;72393;4
20;72344;4
21;72309;4
22;72256;4
23;72247;4
24;72168;4
25;72166;4
26;72065;4
27;72034;4
28;71924;4
29;71905;4
30;71837;4
31;71709;4
32;71639;4
33;71557;4
34;71528;4
35;71421;4
36;71399;4
37;71295;4
38;71197;4
39;71177;4
40;71140;4
41;71050;4
42;70905;4
43;70808;4
44;70724;4
45;70638;4
46;70629;4
47;70557;4
48;70471;4
49;70429;4
50;70375;4
51;70353;4
52;70224;4
53;70102;4
54;69976;4
55;69954;4
56;69906;4
57;69856;4
58;69727;4
59;69616;4
60;69475;4
61;69414;4
62;69334;4
63;69196;4
64;69121;4
65;69100;4
66;69031;4
67;68938;4
68;68918;4
69;68793;4
70;68656;4
71;68563;4
72;68460;4
73;68356;4
74;68282;4
75;68176;4
76;68139;4
77;68035;4
78;67963;4
79;67823;4
80;67682;4
81;67653;4
82;67560;4
83;67491;4
84;67379;4
85;67333;4
86;67187;4
87;67091;4
88;66987;4
89;66979;4
90;66920;4
91;66800;4
92;66677;4
93;66542;4
94;66516;4
95;66392;4
96;66381;4
97;66373;4
98;66351;4
99;66288;4
100;66270;4
101;65925;4
102;65199;4
103;64851;4
104;64125;3
105;63679;3
106;63508;3
107;63184;3
108;63051;3
109;62167;3
110;61553;3
111;60712;3
112;59799;3
113;59015;3
114;58261;3
115;57485;2
116;57412;2
117;57241;2
118;57047;2
119;56897;2
120;56091;2
121;55177;2
122;55092;2
123;54650;2
124;54533;2
125;53747;2
126;52972;2
127;52452;2
128;51801;2
129;51162;2
130;50966;2
131;50417;2
132;50359;2
133;49537;2
134;49011;2
135;48173;2
136;47291;2
137;47177;2
138;47152;2
139;46303;2
140;45494;2
141;45177;2
142;44610;2
143;44456;2
144;43686;2
145;42736;2
146;41836;2
147;41717;2
148;41308;2
149;41254;2
150;40268;2
151;39397;2
152;38456;2
153;38183;2
154;37883;2
155;37390;2
156;37130;2
157;36846;2
158;36615;2
159;35686;1
160;35027;1
161;34388;1
162;33726;1
163;33244;1
164;32556;1
165;32490;1
166;31707;1
167;31616;1
168;31358;1
