"","x"
"1",25
"2",20
"3",20
"4",20
"5",20
"6",20
"7",20
"8",20
"9",20
"10",20
"11",20
"12",20
"13",25
"14",25
"15",25
"16",25
"17",25
"18",25
"19",25
"20",25
"21",25
"22",25
"23",25
"24",25
"25",25
"26",25
"27",25
"28",25
"29",25
"30",25
"31",25
"32",25
"33",25
"34",25
"35",25
"36",25
"37",25
"38",25
"39",25
"40",25
"41",25
"42",25
"43",25
"44",25
"45",25
"46",25
"47",25
"48",25
"49",25
"50",25
"51",25
"52",25
"53",25
"54",25
"55",25
"56",25
"57",25
"58",25
"59",25
"60",25
"61",25
"62",25
"63",25
"64",25
"65",25
"66",25
"67",25
"68",25
"69",25
"70",25
"71",25
"72",25
"73",25
"74",25
"75",25
"76",25
"77",25
"78",25
"79",25
"80",25
"81",25
"82",25
"83",25
"84",25
"85",25
"86",25
"87",25
"88",25
"89",25
"90",25
"91",25
"92",25
"93",25
"94",25
"95",25
"96",25
"97",25
"98",25
"99",25
"100",25
"101",25
"102",20
"103",20
"104",20
"105",20
"106",20
"107",20
"108",20
"109",20
"110",20
"111",20
"112",20
"113",20
"114",20
"115",20
"116",20
"117",20
"118",15
"119",15
"120",15
"121",15
"122",15
"123",15
"124",15
"125",15
"126",15
"127",15
"128",15
"129",15
"130",15
"131",15
"132",15
"133",15
"134",15
"135",15
"136",15
"137",15
"138",15
"139",15
"140",15
"141",15
"142",15
"143",15
"144",15
"145",15
"146",15
"147",15
"148",15
"149",15
"150",15
"151",15
"152",10
"153",10
"154",15
"155",15
"156",15
"157",15
"158",15
"159",15
"160",15
"161",15
"162",20
"163",20
"164",20
"165",25
"166",30
"167",70
"168",75
