Hour;Value;Machines
1;71462;4
2;71365;4
3;71279;4
4;71212;4
5;71176;4
6;71060;4
7;70984;4
8;70927;4
9;70844;4
10;70841;4
11;70770;4
12;70729;4
13;70621;4
14;70609;4
15;70552;4
16;70456;4
17;70334;4
18;70284;4
19;70194;4
20;70106;4
21;69974;4
22;69908;4
23;69819;4
24;69727;4
25;69617;4
26;69587;4
27;69547;4
28;69429;4
29;69361;4
30;69270;4
31;69155;4
32;69020;4
33;69007;4
34;68902;4
35;68835;4
36;68742;4
37;68657;4
38;68558;4
39;68499;4
40;68433;4
41;68321;4
42;68306;4
43;68284;4
44;68253;4
45;68154;4
46;68141;4
47;68094;4
48;68021;4
49;67943;4
50;67931;4
51;67861;4
52;67782;4
53;67748;4
54;67654;4
55;67581;4
56;67520;4
57;67511;4
58;67375;4
59;67276;4
60;67269;4
61;67192;4
62;67091;4
63;66959;4
64;66824;4
65;66794;4
66;66716;4
67;66687;4
68;66684;4
69;66597;4
70;66491;4
71;66480;4
72;66456;4
73;66323;4
74;66299;4
75;66181;4
76;66063;4
77;66019;4
78;65961;4
79;65825;4
80;65728;4
81;65602;4
82;65493;4
83;65453;4
84;65397;4
85;65376;4
86;65339;4
87;65238;4
88;65177;4
89;65144;4
90;65137;4
91;65052;4
92;64960;4
93;64818;4
94;64765;3
95;64633;3
96;64621;3
97;64596;3
98;64566;3
99;64565;3
100;64544;3
101;64249;3
102;63381;3
103;62612;3
104;62602;3
105;62288;3
106;61695;3
107;61625;3
108;60826;3
109;60172;3
110;60058;3
111;59434;3
112;58474;3
113;58459;3
114;58305;3
115;57562;2
116;57152;2
117;56643;2
118;55874;2
119;54960;2
120;54153;2
121;53406;2
122;52643;2
123;52097;2
124;51955;2
125;51544;2
126;51387;2
127;50848;2
128;50615;2
129;49894;2
130;49267;2
131;49168;2
132;48781;2
133;47998;2
134;47240;2
135;46686;2
136;45858;2
137;45395;2
138;45025;2
139;44237;2
140;43618;2
141;43004;2
142;42434;2
143;41908;2
144;41019;2
145;40107;2
146;39486;2
147;38539;2
148;38334;2
149;38187;2
150;37558;2
151;36936;2
152;36546;2
153;36493;2
154;36202;2
155;36092;2
156;35599;1
157;35277;1
158;34649;1
159;34088;1
160;33931;1
161;33876;1
162;33078;1
163;33000;1
164;32973;1
165;32958;1
166;32720;1
167;32542;1
168;32324;1
