"","x"
"1",13666.2288312512
"2",22770
"3",22889
"4",22913
"5",22981
"6",23068
"7",23185
"8",23240
"9",23277
"10",23355
"11",23448
"12",23476
"13",23566
"14",23675
"15",23809
"16",23837
"17",23940
"18",23989
"19",24088
"20",24125
"21",24136
"22",24221
"23",24282
"24",24391
"25",24400
"26",24477
"27",24560
"28",24578
"29",24622
"30",24645
"31",24672
"32",24785
"33",24838
"34",24865
"35",24978
"36",25036
"37",25064
"38",25170
"39",25238
"40",25242
"41",25272
"42",25392
"43",25454
"44",25499
"45",25608
"46",25615
"47",25650
"48",25722
"49",25752
"50",25836
"51",25881
"52",25923
"53",25954
"54",26035
"55",26129
"56",26213
"57",26283
"58",26293
"59",26307
"60",26433
"61",26437
"62",26536
"63",26546
"64",26559
"65",26609
"66",26723
"67",26832
"68",26894
"69",27024
"70",27100
"71",27234
"72",27366
"73",27481
"74",27576
"75",27582
"76",27608
"77",27631
"78",27647
"79",27781
"80",27783
"81",27824
"82",27835
"83",27957
"84",28052
"85",28165
"86",28284
"87",28366
"88",28473
"89",28541
"90",28570
"91",28693
"92",28711
"93",28802
"94",28879
"95",28879
"96",28945
"97",29054
"98",29102
"99",29231
"100",29361
"101",30037
"102",30823
"103",31573
"104",31992
"105",32537
"106",33166
"107",33825
"108",34424
"109",34968
"110",35444
"111",35536
"112",35647
"113",36391
"114",37518
"115",38502
"116",38948
"117",39261
"118",39845
"119",40132
"120",40148
"121",41289
"122",42186
"123",42962
"124",43983
"125",44350
"126",44689
"127",45528
"128",46194
"129",46650
"130",47614
"131",47805
"132",47845
"133",48765
"134",49375
"135",49990
"136",50287
"137",50378
"138",50958
"139",51469
"140",51564
"141",51850
"142",51854
"143",52758
"144",53371
"145",53445
"146",54139
"147",55269
"148",55334
"149",56127
"150",57505.5961612322
"151",57623.938485026
"152",58180.2823178287
"153",59040.6276538784
"154",59314.9744874442
"155",60315.3228128256
"156",61737.1089820653
"157",61746.116868843
"158",62666.1270112784
"159",62717.1394008371
"160",62921.1540290297
"161",63901.1708874118
"162",65085.1899675834
"163",65227.2112611888
"164",65998.2347599161
"165",66281.2604554971
"166",66331.2883397071
"167",66712.3184043643
"168",66844.3506413295
