"","x"
"1",2295
"2",2290
"3",2285
"4",2280
"5",2275
"6",2270
"7",2265
"8",2260
"9",2255
"10",2250
"11",2245
"12",2240
"13",2235
"14",2230
"15",2225
"16",2220
"17",2215
"18",2210
"19",2205
"20",2195
"21",2185
"22",2175
"23",2165
"24",2155
"25",2145
"26",2135
"27",2125
"28",2115
"29",2105
"30",2095
"31",2085
"32",2075
"33",2065
"34",2055
"35",2045
"36",2035
"37",2025
"38",2015
"39",2005
"40",1990
"41",1975
"42",1960
"43",1945
"44",1930
"45",1915
"46",1900
"47",1885
"48",1870
"49",1855
"50",1835
"51",1815
"52",1795
"53",1775
"54",1755
"55",1735
"56",1715
"57",1695
"58",1675
"59",1655
"60",1635
"61",1615
"62",1595
"63",1575
"64",1555
"65",1535
"66",1515
"67",1495
"68",1475
"69",1455
"70",1435
"71",1415
"72",1395
"73",1375
"74",1355
"75",1335
"76",1315
"77",1295
"78",1275
"79",1255
"80",1235
"81",1215
"82",1195
"83",1175
"84",1155
"85",1135
"86",1115
"87",1095
"88",1075
"89",1055
"90",1035
"91",1015
"92",995
"93",975
"94",955
"95",935
"96",915
"97",895
"98",875
"99",855
"100",835
"101",815
"102",795
"103",775
"104",755
"105",735
"106",715
"107",695
"108",675
"109",655
"110",635
"111",615
"112",595
"113",575
"114",555
"115",535
"116",520
"117",505
"118",490
"119",475
"120",460
"121",445
"122",430
"123",420
"124",410
"125",400
"126",390
"127",380
"128",370
"129",360
"130",350
"131",340
"132",330
"133",320
"134",310
"135",300
"136",290
"137",280
"138",270
"139",260
"140",250
"141",240
"142",230
"143",225
"144",220
"145",215
"146",210
"147",205
"148",200
"149",190
"150",180
"151",170
"152",160
"153",150
"154",140
"155",130
"156",120
"157",110
"158",100
"159",90
"160",80
"161",70
"162",60
"163",50
"164",40
"165",30
"166",20
"167",10
"168",0
