Hour;Value;Machines
1;23735;1
2;24204;1
3;24923;1
4;25356;1
5;25887;1
6;26337;1
7;26768;1
8;27305;1
9;27825;1
10;28156;1
11;28765;1
12;29121;1
13;29591;1
14;31265;1
15;32978;1
16;33045;1
17;33650;1
18;34718;1
19;35783;1
20;36265;2
21;37127;2
22;38143;2
23;39121;2
24;39964;2
25;41534;2
26;42652;2
27;43921;2
28;45043;2
29;46638;2
30;47848;2
31;48652;2
32;49291;2
33;50150;2
34;51485;2
35;52473;2
36;53842;2
37;54399;2
38;54729;2
39;56264;2
40;57659;3
41;58580;3
42;60303;3
43;61127;3
44;61513;3
45;61656;3
46;61964;3
47;63473;3
48;64186;3
49;64512;3
50;64812;4
51;65383;4
52;66471;4
53;66628;4
54;66928;4
55;66929;4
56;66997;4
57;67009;4
58;67161;4
59;67344;4
60;67505;4
61;67512;4
62;67658;4
63;67801;4
64;67862;4
65;67878;4
66;67972;4
67;68071;4
68;68149;4
69;68188;4
70;68330;4
71;68361;4
72;68505;4
73;68665;4
74;68813;4
75;68913;4
76;68934;4
77;69001;4
78;69080;4
79;69223;4
80;69376;4
81;69439;4
82;69529;4
83;69676;4
84;69631;4
85;69432;4
86;69245;4
87;69076;4
88;68954;4
89;68799;4
90;68594;4
91;68434;4
92;68421;4
93;68417;4
94;68277;4
95;68070;4
96;68000;4
97;67976;4
98;67975;4
99;67892;4
100;67717;4
101;67446;4
102;67443;4
103;67292;4
104;67063;4
105;67033;4
106;66835;4
107;66676;4
108;66641;4
109;66613;4
110;66340;4
111;66246;4
112;65983;4
113;65749;4
114;65610;4
115;65494;4
116;64074;3
117;62906;3
118;62477;3
119;60610;3
120;58652;3
121;58291;3
122;57756;3
123;56564;2
124;55983;2
125;55489;2
126;55101;2
127;53450;2
128;51808;2
129;50396;2
130;49129;2
131;47806;2
132;45648;2
133;44345;2
134;42806;2
135;41627;2
136;40055;2
137;38277;2
138;38152;2
139;38144;2
140;37913;2
141;36842;2
142;36085;2
143;34828;1
144;34482;1
145;34373;1
146;34089;1
147;34042;1
148;33626;1
149;33288;1
150;32978;1
151;32531;1
152;32278;1
153;31862;1
154;31406;1
155;30980;1
156;30976;1
157;30661;1
158;30171;1
159;29869;1
160;29409;1
161;29195;1
162;28938;1
163;28705;1
164;28294;1
165;27751;1
166;27607;1
167;27159;1
168;26666;1
