Hour;Value;Machines
1;22664;1
2;22725;1
3;22973;1
4;23314;1
5;23433;1
6;23614;1
7;23699;1
8;23877;1
9;24258;1
10;24304;1
11;24377;1
12;24429;1
13;24707;1
14;24822;1
15;25379;1
16;25878;1
17;27347;1
18;28521;1
19;28792;1
20;28961;1
21;30247;1
22;30958;1
23;31463;1
24;32424;1
25;33940;1
26;34802;1
27;36446;2
28;36510;2
29;37177;2
30;37933;2
31;39329;2
32;39886;2
33;41203;2
34;42210;2
35;42253;2
36;42809;2
37;43194;2
38;44220;2
39;44805;2
40;46216;2
41;47477;2
42;48296;2
43;48556;2
44;50199;2
45;50619;2
46;51035;2
47;52773;2
48;53392;2
49;53882;2
50;54978;2
51;56426;2
52;56533;2
53;56698;2
54;56726;2
55;56943;2
56;56987;2
57;57005;2
58;57125;2
59;57378;2
60;57462;2
61;57540;2
62;57624;3
63;57827;3
64;57944;3
65;58181;3
66;58411;3
67;58609;3
68;58877;3
69;58913;3
70;58930;3
71;58998;3
72;59089;3
73;59209;3
74;59337;3
75;59409;3
76;59479;3
77;59599;3
78;59683;3
79;59854;3
80;60015;3
81;60174;3
82;60405;3
83;60636;3
84;60826;3
85;61026;3
86;61136;3
87;60931;3
88;60676;3
89;60367;3
90;60056;3
91;59742;3
92;59546;3
93;59349;3
94;59131;3
95;58823;3
96;58626;3
97;58433;3
98;58225;3
99;58025;3
100;57752;3
101;57544;2
102;57231;2
103;57055;2
104;56884;2
105;56793;2
106;56618;2
107;56303;2
108;56249;2
109;56066;2
110;55973;2
111;55893;2
112;55832;2
113;55582;2
114;55491;2
115;54514;2
116;52618;2
117;52064;2
118;50925;2
119;50212;2
120;48694;2
121;47916;2
122;47877;2
123;47720;2
124;45939;2
125;45645;2
126;45547;2
127;43632;2
128;41847;2
129;41415;2
130;41298;2
131;41019;2
132;39294;2
133;37908;2
134;36148;2
135;35445;1
136;33985;1
137;32228;1
138;32078;1
139;31793;1
140;29824;1
141;28994;1
142;28594;1
143;27406;1
144;27158;1
145;26857;1
146;26753;1
147;26721;1
148;26593;1
149;26384;1
150;26293;1
151;26292;1
152;26222;1
153;25871;1
154;25806;1
155;25506;1
156;25361;1
157;25157;1
158;25120;1
159;24966;1
160;24645;1
161;24557;1
162;24455;1
163;24384;1
164;24356;1
165;24250;1
166;23899;1
167;23770;1
168;23713;1
