Hour;Value;Machines
1;23318;1
2;23482;1
3;23823;1
4;23828;1
5;24491;1
6;24707;1
7;24936;1
8;25589;1
9;25971;1
10;26197;1
11;26313;1
12;26702;1
13;27241;1
14;27581;1
15;27824;1
16;28149;1
17;28357;1
18;28507;1
19;29561;1
20;29577;1
21;29900;1
22;30965;1
23;31410;1
24;32248;1
25;32954;1
26;33621;1
27;34532;1
28;35081;1
29;36174;2
30;36200;2
31;36370;2
32;37447;2
33;37747;2
34;38610;2
35;38841;2
36;39901;2
37;40119;2
38;41259;2
39;42236;2
40;42635;2
41;43628;2
42;44773;2
43;45131;2
44;45452;2
45;46389;2
46;47195;2
47;47657;2
48;47937;2
49;48596;2
50;49266;2
51;50481;2
52;51369;2
53;52858;2
54;53750;2
55;54676;2
56;55485;2
57;55811;2
58;56488;2
59;57277;2
60;58601;3
61;58791;3
62;59052;3
63;59151;3
64;59170;3
65;59437;3
66;59625;3
67;59914;3
68;60008;3
69;60149;3
70;60170;3
71;60287;3
72;60425;3
73;60559;3
74;60667;3
75;60807;3
76;60952;3
77;60977;3
78;61265;3
79;61553;3
80;61595;3
81;61724;3
82;62010;3
83;62096;3
84;62160;3
85;62321;3
86;62545;3
87;62732;3
88;63028;3
89;62891;3
90;62809;3
91;62604;3
92;62542;3
93;62415;3
94;62160;3
95;62137;3
96;62114;3
97;61887;3
98;61821;3
99;61801;3
100;61632;3
101;61600;3
102;61595;3
103;61428;3
104;61275;3
105;61045;3
106;60926;3
107;60724;3
108;60500;3
109;60251;3
110;60019;3
111;59889;3
112;59779;3
113;59710;3
114;59528;3
115;59444;3
116;59328;3
117;58255;3
118;56251;2
119;53929;2
120;53879;2
121;53155;2
122;53080;2
123;51625;2
124;49635;2
125;48890;2
126;48674;2
127;47052;2
128;45975;2
129;44935;2
130;44773;2
131;42856;2
132;40541;2
133;39995;2
134;38916;2
135;38787;2
136;38567;2
137;38054;2
138;36609;2
139;34676;1
140;33189;1
141;32710;1
142;31653;1
143;30146;1
144;28230;1
145;27954;1
146;27730;1
147;27548;1
148;27363;1
149;27306;1
150;27196;1
151;27087;1
152;27064;1
153;26891;1
154;26662;1
155;26383;1
156;26382;1
157;26178;1
158;26025;1
159;25925;1
160;25907;1
161;25800;1
162;25662;1
163;25436;1
164;25248;1
165;25130;1
166;25123;1
167;25060;1
168;24987;1
